time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446850000	18.4533	6.78506	4.94317	1.01826	0.509932	radar	0.221883	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446950000	18.7509	7.17419	4.95076	1.01851	0.409498	radar	0.931437	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447050000	18.9241	7.60778	4.91244	1.10169	0.492435	radar	2.93915	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447150000	19.1902	7.96148	4.87056	1.10514	0.423332	radar	0.642161	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447250000	19.3823	8.3698	4.85329	1.12775	0.372394	radar	2.32388	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447350000	19.591	8.74214	4.79364	1.16766	0.407966	radar	0.696855	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447450000	19.7215	9.24839	4.82431	1.24184	0.46135	radar	0.418264	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447550000	19.8068	9.74331	4.8353	1.32687	0.532679	radar	0.76106	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447650000	19.8372	10.412	4.98157	1.37471	0.433486	radar	5.62072	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447750000	19.8725	10.9077	4.97767	1.44869	0.495084	radar	0.941724	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447850000	19.8661	11.5396	5.08128	1.49484	0.430586	radar	2.50374	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447950000	19.7425	12.1169	5.1248	1.62699	0.605271	radar	5.02695	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448050000	19.8336	12.4945	5.00212	1.58873	0.401231	radar	4.56158	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448150000	19.8134	12.9128	4.92739	1.66706	0.530294	radar	2.3233	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448250000	19.9234	13.2201	4.77944	1.6824	0.518326	radar	5.44922	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448350000	19.8691	13.6734	4.76483	1.72256	0.48922	radar	0.226891	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448450000	19.8525	14.0461	4.68335	1.7736	0.534008	radar	1.43858	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448550000	19.7396	14.4924	4.67705	1.82651	0.529686	radar	0.149014	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448650000	19.704	14.8163	4.56605	1.8507	0.488229	radar	2.07301	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448750000	19.5477	15.2261	4.54964	1.9853	0.742601	radar	9.07843	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448850000	19.4596	15.5497	4.45136	2.01857	0.669157	radar	1.52697	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448950000	19.2742	15.9585	4.44711	2.04544	0.558206	radar	1.3083	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449050000	19.0978	16.3289	4.42528	2.10083	0.57401	radar	0.656154	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449150000	18.8008	16.7931	4.52204	2.21744	0.740787	radar	8.77379	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449250000	18.6307	17.1355	4.43486	2.19527	0.498598	radar	5.80576	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449350000	18.3651	17.5058	4.44485	2.22006	0.424784	radar	0.633717	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449450000	18.1022	17.7805	4.39062	2.30492	0.547218	radar	1.75677	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449550000	17.9312	18.0817	4.32683	2.33064	0.514147	radar	6.76546	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449650000	17.64	18.3382	4.29357	2.40351	0.57428	radar	0.6022	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449750000	17.2587	18.752	4.40155	2.44374	0.537235	radar	4.91731	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449850000	16.7956	19.1671	4.55148	2.51111	0.575456	radar	4.7847	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449950000	16.4401	19.2776	4.46147	2.60732	0.652432	radar	8.46552	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450050000	16.1118	19.4776	4.3895	2.62417	0.51879	radar	2.27573	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450150000	15.5363	19.9116	4.61383	2.65291	0.465449	radar	9.2047	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450250000	15.0821	20.0987	4.6292	2.71693	0.496662	radar	1.3802	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450350000	14.5352	20.3698	4.75251	2.77755	0.530582	radar	2.14016	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450450000	14.0417	20.5611	4.80288	2.84133	0.565854	radar	0.577633	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450550000	13.6062	20.6269	4.7771	2.93893	0.675383	radar	1.38864	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450650000	13.1449	20.7629	4.78457	2.98596	0.638286	radar	2.1008	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450750000	12.5018	20.951	4.94611	3.03306	0.609668	radar	3.48235	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450850000	12.0525	20.9948	4.91817	3.09192	0.61371	radar	0.954938	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450950000	11.569	20.9674	4.90104	3.16014	0.617322	radar	0.976803	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451050000	11.0232	20.9143	4.93385	3.22779	0.613072	radar	3.64214	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451150000	10.3482	20.9901	5.07037	3.22739	0.470605	radar	4.78691	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451250000	9.84743	20.9759	5.07643	3.26488	0.462308	radar	1.43308	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451350000	9.32756	20.9672	5.08188	3.26296	0.347317	radar	1.5965	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451450000	8.94411	20.8697	4.98984	3.31855	0.39847	radar	2.76317	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451550000	8.69372	20.6446	4.79306	3.39751	0.452384	radar	4.93903	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451650000	8.24026	20.498	4.80284	3.46042	0.499779	radar	0.283462	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451750000	7.85288	20.3372	4.77924	3.5368	0.578706	radar	3.44504	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451850000	7.36713	20.1551	4.81035	3.58181	0.550096	radar	0.447847	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451950000	6.92182	19.9757	4.80822	3.61539	0.506529	radar	0.510438	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452050000	6.51135	19.7958	4.79299	3.65235	0.489812	radar	2.46591	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452150000	5.96823	19.5512	4.92254	3.70973	0.535049	radar	2.52646	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452250000	5.64341	19.2379	4.85716	3.77854	0.542144	radar	0.768272	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452350000	5.348	18.9947	4.73033	3.80043	0.454507	radar	4.32991	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452450000	4.7809	18.7564	4.89532	3.81537	0.449294	radar	2.88673	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452550000	4.43542	18.4675	4.83746	3.83354	0.377799	radar	0.93952	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452650000	3.96781	18.1858	4.97231	3.9034	0.510977	radar	7.95702	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
1477010452750000	3.72904	17.862	4.82872	3.93455	0.429707	radar	2.9901	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627
1477010452850000	3.2425	17.5482	4.97797	3.96757	0.472757	radar	3.25796	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844
1477010452950000	3.02254	17.1295	4.94978	4.07288	0.572227	radar	1.12784	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302
1477010453050000	2.68235	16.7919	4.8687	4.06483	0.434502	radar	3.40631	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014
1477010453150000	2.18204	16.4207	4.96869	4.02531	0.306086	radar	4.99496	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995
1477010453250000	1.80396	16.0801	4.98059	4.01296	0.239208	radar	0.708007	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261
1477010453350000	1.59744	15.6341	4.97482	4.12164	0.390677	radar	1.91366	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832
1477010453450000	1.19076	15.2682	5.03521	4.11187	0.336912	radar	1.7122	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773
1477010453550000	0.900721	14.9069	4.9825	4.10792	0.260405	radar	1.95787	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977
1477010453650000	0.704074	14.4373	4.99886	4.20099	0.382738	radar	1.83859	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598
1477010453750000	0.364282	13.966	5.1659	4.25534	0.469115	radar	3.45347	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617
1477010453850000	0.134202	13.4954	5.21766	4.31856	0.51986	radar	0.859881	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061
1477010453950000	-0.138787	13.0517	5.18723	4.31423	0.419713	radar	1.51458	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955
1477010454050000	-0.478328	12.5833	5.21326	4.27489	0.283722	radar	2.3856	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326
1477010454150000	-0.800535	12.1596	5.23514	4.25044	0.214139	radar	2.10594	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198
1477010454250000	-1.10009	11.6875	5.28417	4.25042	0.195223	radar	0.337232	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598
1477010454350000	-1.25018	11.2159	5.19303	4.2616	0.128597	radar	3.13801	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549
1477010454450000	-1.37524	10.7424	5.17086	4.33737	0.24563	radar	1.5984	-1.29894	10.9012	-1.31706	10.7324	-2.05273	-4.75075
1477010454550000	-1.5562	10.2235	5.2253	4.38358	0.298388	radar	0.996268	-1.59293	10.0212	-1.51917	10.2559	-1.99093	-4.78198
1477010454650000	-1.69517	9.76941	5.14602	4.39853	0.249276	radar	1.1568	-1.59702	9.96554	-1.71539	9.77637	-1.93498	-4.80939
1477010454750000	-1.96197	9.26806	5.25207	4.39718	0.242106	radar	1.84669	-2.27191	9.37316	-1.90631	9.29431	-1.88502	-4.83316
1477010454850000	-2.08879	8.82546	5.15558	4.40481	0.185595	radar	2.11914	-1.96565	9.13274	-2.09256	8.81003	-1.8412	-4.85347
1477010454950000	-2.38079	8.30118	5.27784	4.37632	0.136453	radar	1.94839	-2.65862	8.19477	-2.27474	8.32388	-1.80365	-4.87047
1477010455050000	-2.44076	7.89799	5.11976	4.41651	0.153814	radar	6.15914	-2.273	8.52315	-2.45348	7.83617	-1.77248	-4.8843
1477010455150000	-2.7773	7.39637	5.22019	4.33544	-0.00338572	radar	4.01926	-3.08256	7.38874	-2.62944	7.34723	-1.74777	-4.89507
1477010455250000	-2.86252	6.9503	5.1284	4.39348	0.101035	radar	1.94286	-2.79412	7.20818	-2.80326	6.85734	-1.72958	-4.90286
1477010455350000	-2.94208	6.50295	4.99308	4.39159	0.0170605	radar	4.41232	-2.57673	6.36755	-2.97559	6.36681	-1.71797	-4.90774
1477010455450000	-3.18119	6.00295	5.10088	4.38463	0.041976	radar	2.60954	-3.50172	6.10796	-3.14709	5.87592	-1.71297	-4.90976
1477010455550000	-3.36597	5.4918	5.12673	4.36059	-0.0331732	radar	1.94823	-3.19736	5.19093	-3.31843	5.38496	-1.71458	-4.90893
1477010455650000	-3.49612	5.00636	5.10406	4.39379	0.0471879	radar	0.661506	-3.4281	4.94644	-3.49026	4.89422	-1.72281	-4.90525
1477010455750000	-3.69231	4.48244	5.15671	4.35981	-0.0545353	radar	2.67809	-3.50501	4.17643	-3.66325	4.40398	-1.73763	-4.89868
1477010455850000	-3.87912	3.99823	5.17365	4.37038	0.000658833	radar	0.908437	-4.06447	4.10977	-3.83806	3.91452	-1.75899	-4.88918
1477010455950000	-4.0755	3.57929	5.10789	4.33595	-0.0872573	radar	2.68258	-4.23729	3.88878	-4.01533	3.42616	-1.78686	-4.87666
1477010456050000	-4.29888	3.05184	5.20483	4.31246	-0.124073	radar	1.33301	-4.27467	2.88187	-4.19571	2.93919	-1.82113	-4.86104
1477010456150000	-4.48426	2.53596	5.23418	4.32506	-0.0599734	radar	0.900745	-4.38481	2.39989	-4.37985	2.45393	-1.86173	-4.84218
1477010456250000	-4.67943	2.05004	5.23591	4.28428	-0.178997	radar	3.37757	-4.29257	1.92854	-4.56836	1.97072	-1.90853	-4.81994
1477010456350000	-4.92072	1.5324	5.32121	4.26129	-0.199186	radar	0.875609	-4.98165	1.43611	-4.76186	1.48989	-1.9614	-4.79417
1477010456450000	-5.1212	1.07617	5.2464	4.26389	-0.131495	radar	1.12435	-4.98594	1.10894	-4.96095	1.01182	-2.02019	-4.76468
