time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445150000	11.6261	1.72962	5.09075	0.29608	0.209551	radar	0.943918	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8575	1.78706	5.07018	0.298104	0.197399	lidar	0.421912	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1113	1.88038	5.12232	0.313318	0.200364	radar	1.3165	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3576	1.89532	5.09842	0.286778	0.146493	lidar	0.92724	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6135	1.95246	5.13615	0.280944	0.122398	radar	1.01641	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8113	2.09474	5.10915	0.332932	0.190489	lidar	3.13548	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0761	2.20217	5.19318	0.346023	0.186329	radar	3.48432	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2776	2.34757	5.16965	0.392588	0.241513	lidar	2.26556	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4543	2.5136	5.08077	0.458856	0.335524	radar	10.3156	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7049	2.6177	5.10412	0.465866	0.320584	lidar	0.905567	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9233	2.73782	5.09	0.487037	0.330751	radar	0.148998	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1516	2.88561	5.11184	0.516695	0.349105	lidar	0.377427	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4029	2.98847	5.16778	0.50527	0.291598	radar	1.73381	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6141	3.04968	5.10987	0.489545	0.249728	lidar	2.43676	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8437	3.20368	5.16539	0.511802	0.253904	radar	3.72162	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0487	3.39832	5.19126	0.562325	0.307892	lidar	0.88612	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.257	3.57277	5.18793	0.602214	0.351122	radar	2.36192	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4702	3.75632	5.21564	0.636501	0.374306	lidar	0.480519	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6826	3.89072	5.20375	0.643036	0.356706	radar	1.07368	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9074	4.02499	5.20372	0.645133	0.334242	lidar	0.32684	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1003	4.19632	5.17079	0.681654	0.379499	radar	1.7206	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.298	4.38752	5.19301	0.712983	0.396301	lidar	0.262905	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5087	4.55081	5.20814	0.721899	0.376222	radar	0.711207	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6887	4.71491	5.18684	0.740369	0.37653	lidar	0.463571	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8349	4.92514	5.1247	0.808194	0.483044	radar	4.22348	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9986	5.14602	5.1482	0.849689	0.506579	lidar	0.287108	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1673	5.32269	5.12472	0.870302	0.506328	radar	1.79529	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3291	5.49662	5.09964	0.886499	0.494826	lidar	0.301684	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4833	5.67389	5.06231	0.909957	0.504127	radar	3.30034	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6837	5.78607	5.00194	0.886016	0.439159	lidar	2.47226	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8224	5.99254	4.98078	0.928634	0.486345	radar	0.907616	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0002	6.17345	4.98147	0.934727	0.461128	lidar	0.887056	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1481	6.38473	4.99666	0.958921	0.460044	radar	0.627444	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2693	6.61757	5.01448	0.998297	0.481883	lidar	0.307895	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3989	6.83609	5.01676	1.02795	0.49308	radar	0.165117	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5525	6.96604	4.9305	1.01467	0.444896	lidar	2.66463	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7036	7.17086	4.95363	1.01639	0.39954	radar	0.708174	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9085	7.29993	4.89911	0.981419	0.32712	lidar	4.30486	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9911	7.51155	4.84667	1.03611	0.408845	radar	4.16177	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0803	7.77129	4.89044	1.08442	0.445594	lidar	0.931312	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2018	7.97892	4.8893	1.09615	0.424882	radar	0.346461	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.281	8.19283	4.86761	1.12795	0.439709	lidar	1.38027	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3811	8.40344	4.86515	1.13907	0.410412	radar	2.33198	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4794	8.54947	4.76717	1.13947	0.386997	lidar	4.20131	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5685	8.76113	4.74839	1.16627	0.407186	radar	0.608617	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7362	8.92827	4.7155	1.14168	0.348762	lidar	4.24792	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8057	9.15395	4.70131	1.18446	0.40286	radar	1.05036	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9389	9.37377	4.72308	1.1851	0.37635	lidar	2.91192	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9781	9.60309	4.69301	1.2452	0.464171	radar	2.61199	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0657	9.83878	4.71589	1.26478	0.45866	lidar	0.693812	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1267	10.0867	4.75314	1.2873	0.442048	radar	7.13852	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
